transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,total_amoumt,transaction_hour_bucket,transaction_time_formatted,Day_of_week,Month_of_year,day_number,day_category,time_category,order_bucket
38,2023-01-01,2026-03-21T09:00:24.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,09:00:24,Sun,Jan,1,Weekend,Morning,Couple/Small Group
39,2023-01-01,2026-03-21T09:07:13.000Z,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3,9,09:07:13,Sun,Jan,1,Weekend,Morning,Single
40,2023-01-01,2026-03-21T09:08:09.000Z,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,9,09:08:09,Sun,Jan,1,Weekend,Morning,Couple/Small Group
41,2023-01-01,2026-03-21T09:08:13.000Z,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,9,09:08:13,Sun,Jan,1,Weekend,Morning,Single
42,2023-01-01,2026-03-21T09:10:30.000Z,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,9,09:10:30,Sun,Jan,1,Weekend,Morning,Couple/Small Group
43,2023-01-01,2026-03-21T09:10:30.000Z,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,9,09:10:30,Sun,Jan,1,Weekend,Morning,Single
44,2023-01-01,2026-03-21T09:11:06.000Z,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,9,09:11:06,Sun,Jan,1,Weekend,Morning,Single
45,2023-01-01,2026-03-21T09:11:06.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,9,09:11:06,Sun,Jan,1,Weekend,Morning,Single
46,2023-01-01,2026-03-21T09:13:01.000Z,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,9,09:13:01,Sun,Jan,1,Weekend,Morning,Single
47,2023-01-01,2026-03-21T09:13:15.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,9,09:13:15,Sun,Jan,1,Weekend,Morning,Couple/Small Group
48,2023-01-01,2026-03-21T09:14:16.000Z,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,9,09:14:16,Sun,Jan,1,Weekend,Morning,Single
49,2023-01-01,2026-03-21T09:14:17.000Z,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,09:14:17,Sun,Jan,1,Weekend,Morning,Single
50,2023-01-01,2026-03-21T09:14:25.000Z,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,9,09:14:25,Sun,Jan,1,Weekend,Morning,Single
51,2023-01-01,2026-03-21T09:14:41.000Z,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,9,09:14:41,Sun,Jan,1,Weekend,Morning,Single
52,2023-01-01,2026-03-21T09:15:09.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,9,09:15:09,Sun,Jan,1,Weekend,Morning,Couple/Small Group
53,2023-01-01,2026-03-21T09:15:13.000Z,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6,9,09:15:13,Sun,Jan,1,Weekend,Morning,Couple/Small Group
54,2023-01-01,2026-03-21T09:19:21.000Z,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,9,09:19:21,Sun,Jan,1,Weekend,Morning,Couple/Small Group
55,2023-01-01,2026-03-21T09:19:26.000Z,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,9,09:19:26,Sun,Jan,1,Weekend,Morning,Single
56,2023-01-01,2026-03-21T09:21:08.000Z,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,9,09:21:08,Sun,Jan,1,Weekend,Morning,Single
57,2023-01-01,2026-03-21T09:22:17.000Z,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3,9,09:22:17,Sun,Jan,1,Weekend,Morning,Single
58,2023-01-01,2026-03-21T09:22:46.000Z,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,9,09:22:46,Sun,Jan,1,Weekend,Morning,Single
59,2023-01-01,2026-03-21T09:29:56.000Z,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,9,09:29:56,Sun,Jan,1,Weekend,Morning,Couple/Small Group
60,2023-01-01,2026-03-21T09:29:56.000Z,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,9,09:29:56,Sun,Jan,1,Weekend,Morning,Single
61,2023-01-01,2026-03-21T09:29:57.000Z,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,9,09:29:57,Sun,Jan,1,Weekend,Morning,Single
62,2023-01-01,2026-03-21T09:34:17.000Z,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,9,09:34:17,Sun,Jan,1,Weekend,Morning,Couple/Small Group
63,2023-01-01,2026-03-21T09:40:13.000Z,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,9,09:40:13,Sun,Jan,1,Weekend,Morning,Single
64,2023-01-01,2026-03-21T09:41:22.000Z,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,9,09:41:22,Sun,Jan,1,Weekend,Morning,Couple/Small Group
65,2023-01-01,2026-03-21T09:41:22.000Z,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,9,09:41:22,Sun,Jan,1,Weekend,Morning,Single
66,2023-01-01,2026-03-21T09:44:20.000Z,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,9,09:44:20,Sun,Jan,1,Weekend,Morning,Couple/Small Group
67,2023-01-01,2026-03-21T09:44:46.000Z,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,9,09:44:46,Sun,Jan,1,Weekend,Morning,Single
68,2023-01-01,2026-03-21T09:46:46.000Z,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6,9,09:46:46,Sun,Jan,1,Weekend,Morning,Couple/Small Group
69,2023-01-01,2026-03-21T09:47:40.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,09:47:40,Sun,Jan,1,Weekend,Morning,Couple/Small Group
70,2023-01-01,2026-03-21T09:50:44.000Z,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6,9,09:50:44,Sun,Jan,1,Weekend,Morning,Couple/Small Group
71,2023-01-01,2026-03-21T09:50:44.000Z,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,9,09:50:44,Sun,Jan,1,Weekend,Morning,Single
72,2023-01-01,2026-03-21T09:52:58.000Z,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,9,09:52:58,Sun,Jan,1,Weekend,Morning,Single
73,2023-01-01,2026-03-21T09:53:28.000Z,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,9,09:53:28,Sun,Jan,1,Weekend,Morning,Single
74,2023-01-01,2026-03-21T09:53:44.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,09:53:44,Sun,Jan,1,Weekend,Morning,Couple/Small Group
75,2023-01-01,2026-03-21T09:53:44.000Z,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,9,09:53:44,Sun,Jan,1,Weekend,Morning,Single
76,2023-01-01,2026-03-21T09:53:49.000Z,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,9,09:53:49,Sun,Jan,1,Weekend,Morning,Single
77,2023-01-01,2026-03-21T09:54:46.000Z,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,09:54:46,Sun,Jan,1,Weekend,Morning,Single
78,2023-01-01,2026-03-21T09:55:16.000Z,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6,9,09:55:16,Sun,Jan,1,Weekend,Morning,Couple/Small Group
79,2023-01-01,2026-03-21T09:56:30.000Z,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,9,09:56:30,Sun,Jan,1,Weekend,Morning,Single
80,2023-01-01,2026-03-21T10:00:39.000Z,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,10,10:00:39,Sun,Jan,1,Weekend,Morning,Couple/Small Group
81,2023-01-01,2026-03-21T10:03:55.000Z,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,10:03:55,Sun,Jan,1,Weekend,Morning,Couple/Small Group
82,2023-01-01,2026-03-21T10:14:49.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,10,10:14:49,Sun,Jan,1,Weekend,Morning,Single
83,2023-01-01,2026-03-21T10:14:49.000Z,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,10,10:14:49,Sun,Jan,1,Weekend,Morning,Single
84,2023-01-01,2026-03-21T10:16:30.000Z,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,10,10:16:30,Sun,Jan,1,Weekend,Morning,Couple/Small Group
85,2023-01-01,2026-03-21T10:16:33.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,10:16:33,Sun,Jan,1,Weekend,Morning,Single
86,2023-01-01,2026-03-21T10:18:14.000Z,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,10,10:18:14,Sun,Jan,1,Weekend,Morning,Couple/Small Group
87,2023-01-01,2026-03-21T10:18:52.000Z,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,10,10:18:52,Sun,Jan,1,Weekend,Morning,Couple/Small Group
88,2023-01-01,2026-03-21T10:19:42.000Z,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5,10,10:19:42,Sun,Jan,1,Weekend,Morning,Couple/Small Group
89,2023-01-01,2026-03-21T10:24:19.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,10:24:19,Sun,Jan,1,Weekend,Morning,Single
90,2023-01-01,2026-03-21T10:25:22.000Z,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,10,10:25:22,Sun,Jan,1,Weekend,Morning,Couple/Small Group
91,2023-01-01,2026-03-21T10:25:45.000Z,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7,10,10:25:45,Sun,Jan,1,Weekend,Morning,Couple/Small Group
92,2023-01-01,2026-03-21T10:25:45.000Z,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,10,10:25:45,Sun,Jan,1,Weekend,Morning,Single
93,2023-01-01,2026-03-21T10:27:48.000Z,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,10,10:27:48,Sun,Jan,1,Weekend,Morning,Couple/Small Group
94,2023-01-01,2026-03-21T10:30:07.000Z,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,10,10:30:07,Sun,Jan,1,Weekend,Morning,Single
95,2023-01-01,2026-03-21T10:30:07.000Z,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,10,10:30:07,Sun,Jan,1,Weekend,Morning,Single
96,2023-01-01,2026-03-21T10:35:47.000Z,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,10,10:35:47,Sun,Jan,1,Weekend,Morning,Single
97,2023-01-01,2026-03-21T10:41:53.000Z,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,10,10:41:53,Sun,Jan,1,Weekend,Morning,Single
98,2023-01-01,2026-03-21T10:47:53.000Z,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,10:47:53,Sun,Jan,1,Weekend,Morning,Couple/Small Group
99,2023-01-01,2026-03-21T10:49:13.000Z,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,10,10:49:13,Sun,Jan,1,Weekend,Morning,Couple/Small Group
100,2023-01-01,2026-03-21T10:49:51.000Z,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,10,10:49:51,Sun,Jan,1,Weekend,Morning,Couple/Small Group
101,2023-01-01,2026-03-21T10:51:17.000Z,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,10,10:51:17,Sun,Jan,1,Weekend,Morning,Single
102,2023-01-01,2026-03-21T10:52:44.000Z,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5,10,10:52:44,Sun,Jan,1,Weekend,Morning,Couple/Small Group
103,2023-01-01,2026-03-21T10:52:44.000Z,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,10,10:52:44,Sun,Jan,1,Weekend,Morning,Single
104,2023-01-01,2026-03-21T10:56:14.000Z,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,10,10:56:14,Sun,Jan,1,Weekend,Morning,Single
105,2023-01-01,2026-03-21T10:56:14.000Z,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,10,10:56:14,Sun,Jan,1,Weekend,Morning,Single
106,2023-01-01,2026-03-21T11:01:48.000Z,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,11,11:01:48,Sun,Jan,1,Weekend,Morning,Single
107,2023-01-01,2026-03-21T11:01:58.000Z,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,11,11:01:58,Sun,Jan,1,Weekend,Morning,Single
108,2023-01-01,2026-03-21T11:01:58.000Z,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,11,11:01:58,Sun,Jan,1,Weekend,Morning,Single
109,2023-01-01,2026-03-21T11:03:25.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,11,11:03:25,Sun,Jan,1,Weekend,Morning,Couple/Small Group
110,2023-01-01,2026-03-21T11:03:25.000Z,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,11,11:03:25,Sun,Jan,1,Weekend,Morning,Single
111,2023-01-01,2026-03-21T11:04:32.000Z,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,11,11:04:32,Sun,Jan,1,Weekend,Morning,Couple/Small Group
112,2023-01-01,2026-03-21T11:08:11.000Z,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,11:08:11,Sun,Jan,1,Weekend,Morning,Single
113,2023-01-01,2026-03-21T11:08:59.000Z,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,11,11:08:59,Sun,Jan,1,Weekend,Morning,Couple/Small Group
114,2023-01-01,2026-03-21T11:09:01.000Z,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,11:09:01,Sun,Jan,1,Weekend,Morning,Single
115,2023-01-01,2026-03-21T11:10:21.000Z,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,11,11:10:21,Sun,Jan,1,Weekend,Morning,Single
116,2023-01-01,2026-03-21T11:10:21.000Z,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,11,11:10:21,Sun,Jan,1,Weekend,Morning,Single
117,2023-01-01,2026-03-21T11:10:58.000Z,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,11,11:10:58,Sun,Jan,1,Weekend,Morning,Single
118,2023-01-01,2026-03-21T11:12:29.000Z,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,11,11:12:29,Sun,Jan,1,Weekend,Morning,Single
119,2023-01-01,2026-03-21T11:16:02.000Z,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,11,11:16:02,Sun,Jan,1,Weekend,Morning,Couple/Small Group
120,2023-01-01,2026-03-21T11:21:00.000Z,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,11,11:21:00,Sun,Jan,1,Weekend,Morning,Couple/Small Group
121,2023-01-01,2026-03-21T11:21:04.000Z,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,11,11:21:04,Sun,Jan,1,Weekend,Morning,Couple/Small Group
122,2023-01-01,2026-03-21T11:21:14.000Z,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,11,11:21:14,Sun,Jan,1,Weekend,Morning,Single
123,2023-01-01,2026-03-21T11:23:01.000Z,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,11,11:23:01,Sun,Jan,1,Weekend,Morning,Single
124,2023-01-01,2026-03-21T11:23:43.000Z,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,11,11:23:43,Sun,Jan,1,Weekend,Morning,Couple/Small Group
125,2023-01-01,2026-03-21T11:23:43.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,11,11:23:43,Sun,Jan,1,Weekend,Morning,Single
126,2023-01-01,2026-03-21T11:25:35.000Z,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6,11,11:25:35,Sun,Jan,1,Weekend,Morning,Couple/Small Group
127,2023-01-01,2026-03-21T11:25:37.000Z,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,11,11:25:37,Sun,Jan,1,Weekend,Morning,Couple/Small Group
128,2023-01-01,2026-03-21T11:28:15.000Z,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5,11,11:28:15,Sun,Jan,1,Weekend,Morning,Couple/Small Group
129,2023-01-01,2026-03-21T11:28:29.000Z,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,11,11:28:29,Sun,Jan,1,Weekend,Morning,Couple/Small Group
130,2023-01-01,2026-03-21T11:29:25.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,11,11:29:25,Sun,Jan,1,Weekend,Morning,Couple/Small Group
